serial,firstoccurrence,lastoccurrence,deletedat,zprocessstate,zticketstate,zhnotifystate,zgenericactionstate,originalseverity,mins,zprocessstate_t,zhnotifystate_t,zgenericactionstate_t,zticketstate_t,live_range,Cluster,zprocessstate_s,zhnotifystate_s,zgenericactionstate_s,zticketstate_s,ProblematicArea
66036140,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.012,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036169,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.015,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036156,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.013,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036177,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.016,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036128,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:35.977,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036163,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.014,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036229,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.022,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036255,2020-08-03-15.37.47.000000,2020-08-03 15:37:47.000,2020-08-03 17:55:36.026,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036193,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.018,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036174,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.016,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036183,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.017,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036211,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.020,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036249,2020-08-03-15.37.47.000000,2020-08-03 15:37:47.000,2020-08-03 17:55:36.025,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036186,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.017,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036224,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.007,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036212,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.020,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036126,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:36.012,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036109,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:35.948,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036125,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:36.012,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036114,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:36.011,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036105,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:35.975,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036086,2020-08-03-15.37.43.000000,2020-08-03 15:37:43.000,2020-08-03 17:55:36.009,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036075,2020-08-03-15.37.43.000000,2020-08-03 15:37:43.000,2020-08-03 17:55:36.008,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036070,2020-08-03-15.37.43.000000,2020-08-03 15:37:43.000,2020-08-03 17:55:36.008,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036063,2020-08-03-15.37.43.000000,2020-08-03 15:37:43.000,2020-08-03 17:55:36.007,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036096,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:35.974,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036110,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:35.975,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036181,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:35.980,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036145,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:35.980,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036168,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.015,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036071,2020-08-03-15.37.43.000000,2020-08-03 15:37:43.000,2020-08-03 17:55:36.008,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036127,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:36.012,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036097,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:35.974,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036083,2020-08-03-15.37.43.000000,2020-08-03 15:37:43.000,2020-08-03 17:55:36.009,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036257,2020-08-03-15.37.47.000000,2020-08-03 15:37:47.000,2020-08-03 17:55:36.026,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036143,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:35.979,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036227,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.022,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036118,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:35.976,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036195,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:35.981,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036089,2020-08-03-15.37.43.000000,2020-08-03 15:37:43.000,2020-08-03 17:55:35.973,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036144,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:35.980,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036147,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:35.979,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036072,2020-08-03-15.37.43.000000,2020-08-03 15:37:43.000,2020-08-03 17:55:36.008,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036115,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:35.976,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036123,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:35.977,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036117,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:36.011,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036091,2020-08-03-15.37.43.000000,2020-08-03 15:37:43.000,2020-08-03 17:55:36.010,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036167,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.015,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036213,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.020,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036205,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:35.991,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036159,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.014,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036160,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.014,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036178,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.016,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036214,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.020,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036130,2020-08-03-15.37.44.000000,2020-08-03 15:37:44.000,2020-08-03 17:55:35.978,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036228,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.022,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036161,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:35.899,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036225,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.021,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036196,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.018,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036258,2020-08-03-15.37.47.000000,2020-08-03 15:37:47.000,2020-08-03 17:55:36.026,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036242,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.024,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036222,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:35.992,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036220,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.021,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036200,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.019,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036201,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.019,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036191,2020-08-03-15.37.45.000000,2020-08-03 15:37:45.000,2020-08-03 17:55:36.018,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036216,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.021,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036230,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.022,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036202,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.019,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036204,2020-08-03-15.37.46.000000,2020-08-03 15:37:46.000,2020-08-03 17:55:36.019,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
66036253,2020-08-03-15.37.47.000000,2020-08-03 15:37:47.000,2020-08-03 17:55:36.026,22.0,3,5,312,4,137.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Completed Successfully,120 - 240 mins,23,negative,negative,Positive,Positive,ne-notification:ne-enrichment:
